Address,City,FILE,PM ID,Property ID,Property Name,Property Type,State,Zip
LAT 42D 26.404N/LONG 76D 14.780W,HARFORD,RPMD,,14000518,CLIMATE REFERENCE NETWORK (CRN),Land,NY,13784
2534 Airport Road,JOHNSON CITY,RPMD,,14001573,NWS ASOS Johnson City (Binghamton) NY,Land,NY,13790
6508 Houck Mountain Road (off DOT Tower Road),WALTON,RPMD,,14001684,NWR Walton NY WWH34,Structure,NY,13856
Edwin A Link Field,BINGHAMTON/JOHNSON CITY,RPMD,,NYE02401,Land - AAIA RDA Site,Land,NY,13901
Edwin A Link Field,BINGHAMTON/JOHNSON CITY,RPMD,,NYE02402,Land - AAIA WFO Site,Land,NY,13901
Ingraham Hill Road,BINGHAMTON,RPMD,,14001144,NWR Binghamton NY WXL38,Structure,NY,13903
8971 Zimmerman Road,NORTH BOSTON,RPMD,,NYE02301,NWR N Boston (Buffalo) NY KEB98,Structure,NY,14110
181 Elicott Street,BUFFALO,RPMD,,NYE04301,ASOS Greater Buffalo Airport,Land,NY,14205
587 Aero Drive,BUFFALO,RPMD,,NYE06802,AAIA WFO RDA Buffalo NY,Land,NY,14225
Asos,DANSVILLE,RPMD,,NYE02701,Asos-Dansville Municipal Arprt,Land,NY,14437
935 THAYER ROAD,FAIRPORT,RPMD,,14000019,NWR Rochester Baker Hill Fairport NY,Structure,NY,14450
2521 Bath Road,PENN YAN,RPMD,,NYE03401,Asos-Penn Yan Airport,Land,NY,14527
1200 Brooks Avenue,ROCHESTER,RPMD,,NYE05701,Asos Rochester Int'l Airport,Land,NY,14624
P.o. Box 51,FALCONER,RPMD,,NYE04701,Asos Chautauqua County Ap,Land,NY,14733
459 Oak Hill Road,FREWSBURG,RPMD,,14000776,NWR Frewsburg NY,Structure,NY,14738
3350 Sing Sing Road,HORSEHEADS,RPMD,,NYE04901,Asos Elmira/corning Regional A,Land,NY,14845
Road 2  Box 720,WELLSVILLE,RPMD,,NYE03501,Asos-Wellsvlle Mncpl Tarantine,Land,NY,14895
"Hawley Hill Rd, approx 3 mi NW of Elmira",ELMIRA,RPMD,,NYE03601,NWR Elmira (Hawley Hill) NY WXM31,Structure,NY,14902
R.D. #4 Box 270b,BELLE VERNON,RPMD,,PAE03901,ASOS Rostraver Airport (P53),Land,PA,15012
192 Shafer Road,CORAOPOLIS,RPMD,,PAE01304,Land,Land,PA,15108
Allegheny County Airport,WEST MIFFLIN,RPMD,,PAE04601,ASOS Allegheny County Airport,Land,PA,15122
3801 University Drive,PITTSBURGH,RPMD,,PAE01401,NWR Pittsburgh PA KIH35,Structure,PA,15261
Airport Road  Rd 2,JOHNSTOWN,RPMD,,PAE03601,ASOS Johnstown cambria County,Land,PA,15904
556 Laurel Mountain Lane,JOHNSTOWN,RPMD,,PAE01701,NWR Johnstown (Morrellville) PA WXM33,Structure,PA,15906
Crawford County Fairgrounds,MEADVILLE,RPMD,,14000423,NWR Meadville PA KZZ32 Crawford County,Structure,PA,16335
984 Water Street,MEADVILLE,RPMD,,PAE04001,ASOS Port Meadville Airport PA,Land,PA,16335
4411 W 12th Street,ERIE,RPMD,,PAE02401,ASOS Erie International Arport Erie PA,Land,PA,16505
Public Beach Nine,ERIE,RPMD,,14001491,NWS Erie (Presque Isle State Park) PA,Land,PA,16506
8425 Peach Street,ERIE,RPMD,,14001113,NWR Erie PA KEC58,Structure,PA,16509
Rothrock State Forrest,HUNTINGDON,RPMD,,PAE05401,NWR Huntingdon PA (Little Flat),Structure,PA,16652
2 Airport Drive,MARTINSBURG,RPMD,,PAE03301,ASOS Altoona Blair County Airport,Land,PA,16662
No Street,STATE COLLEGE,RPMD,,PAM01401,PSU Surfrad Field Site,Land,PA,16801
"3641 McGeorge Road, Moshannon State Forest",LAWRENCE,RPMD,,14001188,NWR Lawrence (Clearfield) PA WXL52,Structure,PA,16830
P.O. Box 508,CLEARFIELD,RPMD,,PAE02901,ASOS Clearfield/Lawrence Airport,Land,PA,16830
3282 Benner Run Rd in Black Moshannon State Forest,PHILIPSBURG,RPMD,,PAE05301,NEXRAD RDA KCCX State College,Land,PA,16866
Rte. 474,WELLSBORO,RPMD,,PAE02001,NWR Wellsboro PA Tioga,Structure,PA,16901
Denton Hill,COUDERSPORT,RPMD,,14000305,NWR Denton Hill PA  WNG591,Structure,PA,16915
41.810556   -76.716944,TROY,RPMD,,PAE01901,NWR Troy (Mt Pisgah Park)  PA WWG53,Structure,PA,16947
208 Airport Road,MIDDLETOWN,RPMD,,PAE03801,ASOS Capital City Airport Middletown PA,Land,PA,17057
208 Airport Drive,MIDDLETOWN,RPMD,,PAE04701,ASOS Harrisburg International,Land,PA,17057
708 Roberts Valley Road,HARRISBURG,RPMD,,14000627,NWR Harrisburg PA WXL40,Structure,PA,17110
P.O. Box 1708,YORK,RPMD,,PAE02501,ASOS York PA Airport,Land,PA,17405
500g East Airport Road,LITITZ,RPMD,,PAE03701,ASOS Lancaster Airport,Land,PA,17543
4559 Skyline Drive,WILLIAMSPORT,RPMD,,PAE05001,NWR Williamsport PA WXL55,Structure,PA,17702
