Address,City,FILE,PM ID,Property ID,Property Name,Property Type,State,Zip
120 David L. Boren Blvd.,NORMAN,RPMD,,14000741,OAR NSSL Office South Base Campus Norman OK,Building,OK,73072
1410 E. Britton Road,OKLAHOMA CITY,RPMD,,OKM01201,NWR KFOR-TV Oklahoma City OK WXK65,Structure,OK,73114
"NW 1/4 of Sec. 23, Town. 10 N., Range 1 W",OKLAHOMA CITY,RPMD,,OKM08501,Ground Space,Land,OK,73132
"7100 Terminal Drive, Unit 937",OKLAHOMA CITY,RPMD,,OKM10101,ASOS Oklahoma City OK,Land,OK,73159
FAA RCAG,OKLAHOMA CITY,RPMD,,OKM08801,NWR  NSSL Oklahoma City OK WXK85,Structure,OK,73179
Box 531,LAWTON,RPMD,,OKM09301,ASOS Site - HO,Land,OK,73502
Clarence Page Airport Cimarron Road,OKLAHOMA CITY,RPMD,,14000416,NSSL Doppler Radar Yukon Oklahoma City OK,Land,OK,73519
12907 SW Lee,CACHE,RPMD,,OKM00601,NWR Cache OK WXK86,Structure,OK,73527
17282 U.S. Highway 283,ELMER,RPMD,,14001098,NWR Tower Altus (Elmer),Structure,OK,73539
Box 399,FREDERICK,RPMD,,OKM09701,ASOS Site - HO,Land,OK,73542
22475 E 990,ARAPAHO,RPMD,,OKM00501,NWR Clinton (Arapaho) OK WXK87,Structure,OK,73620
Box 549,BURNS FLAT,RPMD,,OKM09801,ASOS Site - HO,Land,OK,73624
Box 778,HOBART,RPMD,,OKM09401,ASOS Site - HO,Land,OK,73651
1318 E. Chestnut,ENID,RPMD,,OKM01501,NWR Enid OK WXL48,Structure,OK,73701
36.38889 -99.343056,WOODWARD,RPMD,,14000449,NWR Woodward  OK WWG46,Structure,OK,73801
Box 192,GAGE,RPMD,,OKM09601,ASOS Site - HO,Land,OK,73843
LAT 36D 35.834 N/LONG 101D 35.604W,GOODWELL,RPMD,,14000451,CLIMATE REFERENCE NETWORK (CRN),Land,OK,73939
1701 NW 5th Street,GUYMON,RPMD,,OKM11401,NWS ASOS Guymon OK site,Land,OK,73942
"36.7645, -101.209389",HOOKER,RPMD,,14000775,NWR Hooker OK KJY96,Structure,OK,73945
City Hall,BARTLESVILLE,RPMD,,OKM09901,ASOS Site - HO,Land,OK,74003
401891 West 1800 Road,BARTLESVILLE,RPMD,,14000453,NWR Bartlesville OK WNG644,Structure,OK,74006
LAT 36.1347N/LONG -97.1415W,STILLWATER,RPMD,,14000196,CLIMATE REFERENCE NETWORK (CRN),Land,OK,74074
4418 East 6th Avenue,STILLWATER,RPMD,,14000446,NWR Stillwater OK WNG654,Structure,OK,74074
2020 W Airport Road,STILLWATER,RPMD,,OKM09001,ASOS Site - HO,Land,OK,74074
LAT 36.1184N/LONG -97.0914W,STILLWATER,RPMD,,14000211,CLIMATE REFERENCE NETWORK (CRN),Land,OK,74078
Box 581838,TULSA,RPMD,,OKM08901,ASOS Site - HO,Land,OK,74158
Box 581838,TULSA,RPMD,,OKM11001,ASOS Site,Land,OK,74158
"2 1/2 miles N of Junctions 59, 10 and 20",JAY,RPMD,,OKM11801,NWR Grove Jay OK WWH38,Structure,OK,74346
Box 2644,MUSKOGEE,RPMD,,OKM09101,ASOS Site - HO,Land,OK,74401
9827 S. 286th East Avenue,COWETA,RPMD,,14001002,NWR Coweta OK KIH27,Structure,OK,74429
South 94th West,OKTAHA,RPMD,,14000417,NWR Oktaha OK WNG623,Structure,OK,74450
3740 N US Hwy 69,MCALESTER,RPMD,,OKM00401,NWR Mcalester OK WXL49,Structure,OK,74501
Box 578,MCALESTER,RPMD,,OKM09201,ASOS Site - HO,Land,OK,74501
295 E. Highway 3,ATOKA,RPMD,,14000349,NWR Atoka OK KWN49,Structure,OK,74525
6600 West Highway 60,PONCA CITY,RPMD,,14000371,NWR Ponca City OK WWF42,Structure,OK,74601
Box 1450,PONCA CITY,RPMD,,OKM10201,ASOS Site,Land,OK,74602
"33.999167, -94.791389",BROKEN BOW,RPMD,,14000543,NWR Broken Bow OK WXJ65,Structure,OK,74728
"35.095481, -96.545706",WEWOKA,RPMD,,14000974,NWR Wewoka OK KJY95,Structure,OK,74884
Lat. 33-42-10 N. Long. 96-34-6 W.,DENISON,RPMD,,14001042,Tower Space,Structure,TX,75020
3716 Marquis Drive,GARLAND,RPMD,,14001077,NWR Garland (Dallas) TX KEC56,Structure,TX,75042
2829 W 7th Ave,CORSICANA,RPMD,,14000127,NWR Corsicana TX KXI87,Structure,TX,75110
Corsicana Municipal Arp,CORSICANA,RPMD,,TXM08201,ASOS C David Campbell Field Site - HO,Land,TX,75110
Box 310,TERRELL,RPMD,,TXM11001,ASOS Terrell Municipal Airport Site - HO,Land,TX,75160
4831 S. Hampton Road,DALLAS,RPMD,,TXM09901,ASOS Redbird Airport Site - HO,Land,TX,75232
1700 Lakeside Square,DALLAS,RPMD,,TXM13301,ASOS Mc Kinney Arpt Site,Land,TX,75251
No Street,DALLAS,RPMD,,TXM14701,Asos Ground Space,Land,TX,75261
No Street,DALLAS,RPMD,,TXM15201,Asos Ground Space,Land,TX,75261
561 County Line Road,GREENVILLE,RPMD,,14000081,NWR Greenville Cunby TX  KWN31,Structure,TX,75402
4801 Lamar Avenue,PARIS,RPMD,,TXM02401,NWR Paris TX  WXK20,Structure,TX,75460
3227 Summerfield Road,TEXARKANA,RPMD,,TXM04001,Tower Space,Structure,TX,75503
"33.196944, -94.474722",MARIETTA,RPMD,,14000629,NWR Marietta Mt Pleasant TX WNG653,Structure,TX,75566
Gregg Cy Courthouse,LONGVIEW,RPMD,,TXM12301,ASOS Longview-gregg Cy Arpt Site,Land,TX,75603
"32.727278, -94.91763",GILMER,RPMD,,14000083,NWR Gilmer (Simpson Mtn) TX KWN32,Structure,TX,75644
P O Box 2039,TYLER,RPMD,,TXM09101,ASOS Tyler Pounds Field Site - HO,Land,TX,75710
508 County Road 438,LINDALE,RPMD,,14000658,NWR Lindale (Tyler) TX WXK36,Structure,TX,75771
LAT 31.46.76N/LONG 095D 43.392W,PALESTINE,RPMD,,14000207,CLIMATE REFERENCE NETWORK (CRN),Land,TX,75802
"31.5675, -95.649444",PALESTINE,RPMD,,14000390,NWR Palestine TX KWN34,Structure,TX,75803
802 Whitehouse Drive,LUFKIN,RPMD,,TXM05101,NWR Lufkin TX WXK23,Structure,TX,75901
31.173256  -93.567647,BURKEVILLE,RPMD,,14000122,NWR Burkeville Toledo Bend Dam TX KXI54,Structure,TX,75932
5681 State Highway 7 West,CENTER,RPMD,,14000572,NWR Center (Timson) TX WNG650,Structure,TX,75935
Box 231,ARLINGTON,RPMD,,TXM10001,ASOS Arlington Municipal Airport Site - HO,Land,TX,76004
3801 County Road 919,CROWLEY,RPMD,,TXM17001,NWR Crowley Ft Worth KEC55,Structure,TX,76036
3504 FM Road 1812,MINERAL WELLS,RPMD,,14000447,NWR Mineral Wells TX WNG651,Structure,TX,76067
P O Box 339,MINERAL WELLS,RPMD,,TXM09001,ASOS Mineral Wells Airport Site - HO,Land,TX,76067
819 TAYLOR ST,FORT WORTH,RPMD,,TX0224ZZ,FG LANHAM FED BLDG,Building,TX,76102
401 TEXAS ST,FORT WORTH,RPMD,,TX0247ZZ,FORT WORTH FEDERAL PARK GARAGE,Building,TX,76102
1000 Throckmorton,FT WORTH,RPMD,,TXM14201,ASOS Ft Worth Alliance Arpt Site,Land,TX,76102
Spinks Airport,FORT WORTH,RPMD,,TXM14101,"land WFO/88D/UA, TX, Fort Worth/Dallas",Land,TX,76106
501 W FELIX ST,FORT WORTH,RPMD,,TX0812FW,FED CTR SHED 13,Building,TX,76115
3401 Northern Cross Rd,FORT WORTH,RPMD,,TXM15002,Ground Space For U/A,Land,TX,76137
Terminal Bldg 228,FORT WORTH,RPMD,,TXM10301,ASOS Ft Worth Meacham Airport Site,Land,TX,76193
215 E Mc Kinney,DENTON,RPMD,,TXM11501,ASOS Denton Municipal Airport Site - HO,Land,TX,76201
11799 W. U.S. Hwy 82,MUENSTER,RPMD,,14000380,NWR Muenster TX KHA99,Structure,TX,76252
3703 S Farm to Market Rd 369,WICHITA FALLS,RPMD,,TXM04501,NWR Wichita Falls TX WXK31,Structure,TX,76310
Sheppard Air Force Base,WICHITA FALLS,RPMD,,TXM12901,NWS ASOS Wichita Falls TX (Sheppard) Site,Land,TX,76311
1/2 mile w of intersection of CR 130 & Hwy 206,CISCO,RPMD,,14000352,NWR Cisco TX  WNG636,Structure,TX,76437
1082 CR 250,DUBLIN,RPMD,,14000084,NWR Dublin (Stephenville) TX  KWN33TX,Structure,TX,76446
600 South US 183,THROCKMORTON,RPMD,,14000584,NWR Throckmorton TX  WNG722,Structure,TX,76483
270 CR 346,MILANO,RPMD,,14000766,NWR Milano TX WNG649,Structure,TX,76556
270 CR 346,MILANO,RPMD,,14000767,Ground Space for Transmitter Bldg. Milano TX,Land,TX,76556
600 US 83 West Expressway,MOODY,RPMD,,14000124,NWR Moody Pharr TX KHB33,Structure,TX,76557
1498 Tower Road,MOODY,RPMD,,14000128,OAR CMDL Moody TX,Structure,TX,76557
1498 Tower Road,MOODY,RPMD,,TXM04201,NWR Waco Moody TX WXK35,Structure,TX,76557
P O Box 2570,WACO,RPMD,,TXM11201,ASOS Waco Regional Airport Site - HO,Land,TX,76702
"Lat. 30 28 41 N., Long. 99 45 10 W.",JUNCTION,RPMD,,TXM17401,NWR Junction TX WWG93,Structure,TX,76809
No Address Provided,JUNCTION,RPMD,,TXM16101,Asos Ground Space,Land,TX,76849
Lat. 31-15-09 N. Long. 99-00-10 W.,RICHLAND SPRINGS,RPMD,,TXM17501,NWR Richland Springs TX WWG94,Structure,TX,76871
12413 State Highway 208,SAN ANGELO,RPMD,,14001038,NWR San Angelo TX WXK33,Structure,TX,76901
P O Box 1751,SAN ANGELO,RPMD,,TXM11101,ASOS Mathis Field Site,Land,TX,76902
LAT 32.04093/LONG 100.24950W,BRONTE,RPMD,,14000618,CLIMATE REFERENCE NETWORK (CRN),Land,TX,76933
3.5 miles N-NW of Ozona TX,OZONA,RPMD,,TXM18301,NWR Ozona TX WXL44,Structure,TX,76943
7800 Airport Blvd,HOUSTON,RPMD,,TXM12201,Asos Ground Site,Land,TX,77061
Box 60106,HOUSTON,RPMD,,TXM13601,ASOS Houston Int'l Arpt Site,Land,TX,77205
P O Drawer 2279,CONROE,RPMD,,TXM10601,ASOS Montgomery County Arpt Site - HO,Land,TX,77305
Route 10  Box 142,HUNTSVILLE,RPMD,,TXM08301,ASOS Huntsville Municipal Arpt Site - HO,Land,TX,77340
"30.849893, -95.109644",ONALASKA,RPMD,,14000126,NWR Onalaska TX KXi55,Structure,TX,77360
16000 Brown Road,TOMBALL,RPMD,,14001276,NWR Tomball TX KGG68,Structure,TX,77377
Box 1509,TOMBALL,RPMD,,TXM12501,ASOS Hooks Airport - Houston Site,Land,TX,77377
2191 County Road 469,EL CAMPO,RPMD,,14000746,NWR El Campo TX,Structure,TX,77437
Palacios Municipal Airport,PALACIOS,RPMD,,TXM16801,Asos Ground Space Palacios Arpt,Land,TX,77465
4005 Technology Drive,ANGLETON,RPMD,,14001650,NMFS Angleton TX Office Space,Building,TX,77515
Route 1  Box 5,ANGLETON,RPMD,,TXM08401,ASOS Brazoria Cy Airport Site - HO,Land,TX,77515
1353 FM 646,DICKINSON,RPMD,,14000608,WFO Dickinson League City TX,Building,TX,77539
1353 FM 646,DICKINSON,RPMD,,14000619,NWS Ground Space League City TX Site,Land,TX,77539
1353 FM 646,DICKINSON,RPMD,,14000620,NWS Tower League City TX,Structure,TX,77539
1620 Gill Road,DICKINSON,RPMD,,TXM11601,RDA Houston-Galveston Site (Dickinson),Land,TX,77539
1620 Gill Road,DICKINSON,RPMD,,TXM11603,CPM/PMO Office Houston-Galveston (Dickinson),Building,TX,77539
Box 1164,FRIENDSWOOD,RPMD,,TXM09801,ASOS  Clover Field Site - HO,Land,TX,77546
4700 Avenue U,GALVESTON,RPMD,,14001167,"NMFS Galveston, TX Turtle Sick Bay",Structure,TX,77551
4700 Avenue U,GALVESTON,RPMD,,14001269,Seawater System - NMFS Galveston,Structure,TX,77551
4700 Avenue U,GALVESTON,RPMD,,TXC00206,Bldg 216 Research Labs/offices,Building,TX,77551
4700 Avenue U,GALVESTON,RPMD,,TXC00210,Lab Land=8.5/lagoon Lands=140,Land,TX,77551
4700 Avenue U,GALVESTON,RPMD,,TXC00213,Turtle Facility,Structure,TX,77551
Box 3266,GALVESTON,RPMD,,TXM08801,ASOS Scholes Field Site - HO,Land,TX,77552
29.312692  -94.828778,GALVESTON,RPMD,,14001513,NOS Finger Pier Galveston TX,Structure,TX,77553
8384 Center Street A,HITCHCOCK,RPMD,,14001122,NWR Hitchcock (Galveston) TX KHB40,Structure,TX,77563
2748 Viterbo Road  Box,BEAUMONT,RPMD,,TXM10101,ASOS Jefferson Cy Airport Site,Land,TX,77705
5125 Sutherland,BEAUMONT,RPMD,,14000454,NWR Beaumont TX  WXK28,Structure,TX,77706
"19 Degrees, 17'N 166 Degrees, 39'E",Wake Island A F B,RPMD,,14000311,CO-OPS Instrument Site -Tide Gauge Site,Land,WQ,77777
Saipan International Airport,Saipan,RPMD,,CQW00201,NWS ASOS International Airport Saipan CQ Site,Land,CQ,77777
Colonia,Yap Isl,RPMD,,NQW00302,WSO Yap FM Site,Land,FM,77777
17795 Jfk Blvd  Suite 3,HOUSTON,RPMD,,TXM01102,Ground Space Wscmo-houston Intrcont. Arpt,Land,TX,77777
4141 East 29th Street,BRYAN,RPMD,,14001089,NWR Bryan College Station  TX WXK30,Structure,TX,77802
Mckenzie Terminal Blvd,COLLEGE STATION,RPMD,,TXM11701,ASOS Easterwood Field  Texas A&m Site,Land,TX,77843
"6 Miles N of Hwy 59, East side of 236",VICTORIA,RPMD,,TXM15701,NWR Victoria TX WXK34,Structure,TX,77901
Rt 6  Bldg 530,VICTORIA,RPMD,,TXM13701,ASOS Victoria Arpt Site,Land,TX,77904
LAT 28.25435N/LONG 96.86895W,AUSTWELL,RPMD,,14000616,CLIMATE REFERENCE NETWORK (CRN),Land,TX,77950
119 N Front St,COTULLA,RPMD,,TXM12101,ASOS Cotulla lasalle Cy Arpt Site,Land,TX,78014
684 Twin Lake Dr.,DILLEY,RPMD,,14000357,NWR Dilley TX WNG523,Structure,TX,78017
220 County Road 443,GEORGE WEST,RPMD,,14000465,NWR George West TX WNG696,Structure,TX,78022
Lat. 30-00-34 N. Long. 99-15-45 W.,KERRVILLE,RPMD,,TXM16401,NWS Kerrville TX - WWF90,Structure,TX,78028
2600 Shea Street,LAREDO,RPMD,,TXM04801,NWR Laredo TX WXK26,Structure,TX,78040
No Street,LAREDO,RPMD,,TXM16601,Asos Ground Space Laredo Arpt,Land,TX,78040
Box 311747,NEW BRAUNFELS,RPMD,,TXM08601,ASOS Site - HO,Land,TX,78130
1090 Airport Road,NEW BRAUNFELS,RPMD,,TXM12801,Ground Space - WFO,Land,TX,78130
8535 Mission Rd,SAN ANTONIO,RPMD,,TXM12401,ASOS Stinson Arpt - San Antonio Site,Land,TX,78214
9800 Airport Blvd,SAN ANTONIO,RPMD,,TXM13201,ASOS San Antonio Arpt Site,Land,TX,78216
"25870 U.S. Highway 281 North, Tower 1",SAN ANTONIO,RPMD,,14000687,NWR San Antonio TX WXK67,Structure,TX,78258
Alice International Airport,ALICE,RPMD,,TXM12601,ASOS Alice Int'l Arpt Site,Land,TX,78332
420 E County Road 2335,RIVIERA,RPMD,,14000474,NWR Rivera Kingsville TX WNG609,Structure,TX,78379
Box 1270,ROCKPORT,RPMD,,TXM08701,ASOS Aransas Cy Airport Site - HO,Land,TX,78382
1000 Internat'l Dr,CORPUS CHRISTI,RPMD,,TXM13501,ASOS Corpus Christi Int'l Arpt Site,Land,TX,78406
300 Pinson Drive (Int'l Arpt),CORPUS CHRISTI,RPMD,,TXM15601,Ground Space,Land,TX,78406
6300 Ocean Drive,CORPUS CHRISTI,RPMD,,14001646,NOS NRC Office Corpus Christi TX,Building,TX,78412
606 N. Carancahua,CORPUS CHRISTI,RPMD,,TXM03101,NWR Corpus Christi TX KHB41,Structure,TX,78476
Box 220,MCALLEN,RPMD,,TXM13901,ASOS Miller Int'l Arpt Site,Land,TX,78503
LAT 26D 33.260N/LONG 98D 3.946W,ALAMO,RPMD,,14000452,CLIMATE REFERENCE NETWORK (CRN),Land,TX,78516
245 Wood Ave,BROWNSVILLE,RPMD,,14001056,NWR Brownsville  TX WWG34,Structure,TX,78520
2001 FOUST RD,BROWNSVILLE,RPMD,,TX2863ZZ,Woodfin Trade Services Inc.,Building,TX,78521
700 S. Minnesota Ave.,BROWNSVILLE,RPMD,,TXM13001,ASOS Brownsville Int'l Airport Site,Land,TX,78523
Airport Terminal Bldg,HARLINGEN,RPMD,,TXM12701,ASOS Rio Grande Int'l Arpt Site,Land,TX,78550
No Street,LOS FRESNOS,RPMD,,TXM09501,ASOS Port Isabel-cameron Cy Arpt Site - HO,Land,TX,78566
508 Port Road,PORT ISABEL,RPMD,,TXE08201,CO-OPS Port Isabel San Benito,Land,TX,78578
Highway 755,RIO GRANDE CITY,RPMD,,14000355,NWR Rio Grande City TX WNG601,Structure,TX,78582
127 E Jackson St,BURNET,RPMD,,TXM08501,ASOS Kate Craddock Field Site - HO,Land,TX,78611
712 CR 482,GONZALES,RPMD,,14001239,NWR Gonzales TX  KXI56,Structure,TX,78629
500 Prairie Lea Road,KINGSBURY,RPMD,,14000559,NWR Kingbury TX  WNG641,Structure,TX,78638
Lat. 30-36-01 N. Long. 98-37-26 W.,LLANO,RPMD,,TXM16501,NWR Llano TX WWF91,Structure,TX,78643
Lat 30D 37.411N/Long 98D 5.033W,MARBLE FALLS,RPMD,,14000779,CLIMATE REFERENCE NETWORK (CRN),Land,TX,78654
Off Highway 60,AUSTIN,RPMD,,TXM16901,NWR Bay City TX WWG40,Structure,TX,78703
2400 Waymaker Way,AUSTIN,RPMD,,TXM06501,Tower Space,Structure,TX,78757
No Street,AUSTIN,RPMD,,TXM16301,Asos Ground Space Austin Arpt,Land,TX,78757
30.321083 -97.760000,AUSTIN,RPMD,,TXM18101,ASOS Camp Mabry (Austin) TX Land,Land,TX,78757
188 PR 2035,UVALDE,RPMD,,14000401,NWR Uvalde TX KWN51,Structure,TX,78801
3204 Valley Road,CARRIZO SPRINGS,RPMD,,14000473,NWR Carrizo Springs TX WNG692,Structure,TX,78834
3204 Valley Road,CARRIZO SPRINGS,RPMD,,14000533,NWS Carrizo Springs TX Land,Land,TX,78834
109 W Broadway,DEL RIO,RPMD,,TXM13101,ASOS Del Rio Airport Site,Land,TX,78840
Diablo East  Amistad Re,DEL RIO,RPMD,,TXM16001,Tower Space,Structure,TX,78840
1507 Weather Station Rd,DEL RIO,RPMD,,TXM01301,UAIB Del Rio,Building,TX,78841
P.O. Box 420188,DEL RIO,RPMD,,TXM01302,Ground Space - U/A,Land,TX,78841
155 PR 5120,DHANIS,RPMD,,14000356,NWR D'Hanis TX WNG600,Structure,TX,78850
1600 Avenue M,HONDO,RPMD,,TXM10901,ASOS Hondo Municipal Airport Land Site - HO,Land,TX,78861
Lat. 29-57-04 N. Long. 96-46-28 W.,RUTERSVILLE,RPMD,,TXM17101,NWR Rutersville TX WWG55,Structure,TX,78945
35.626417  -100.550389,MIAMI,RPMD,,14000542,NWR Miami (Roberts County) TX WNG713,Structure,TX,79059
35.626417  -100.550389,MIAMI,RPMD,,14000546,NWR Miami TX site,Land,TX,79059
14585 Hwy 83N,PERRYTON,RPMD,,14000745,NWR Perryton  TX  KJY88,Structure,TX,79070
1006 Industrial Boulevard,PLAINVIEW,RPMD,,14000478,NWR Plainview Hale County TX WNG561,Structure,TX,79072
1006 Industrial Boulevard,PLAINVIEW,RPMD,,14000562,Plainview TX Ground Space,Land,TX,79072
Box 1071,PLAINVIEW,RPMD,,TXM10801,ASOS Dalhart Municipal Airport Site - HO,Land,TX,79072
P O Box 790,STINNETT,RPMD,,TXM11401,ASOS Hutchinson County Airport Site - HO,Land,TX,79083
3240 County Road 1,SUMMERFIELD,RPMD,,14000441,NWR Summerfield TX WNG657,Structure,TX,79085
"35.3153, -101.8342",AMARILLO,RPMD,,TXM02601,NWR Amarillo TX WXK38,Structure,TX,79101
1900 English Rd,AMARILLO,RPMD,,TXM01503,UAIB Amarillo,Building,TX,79108
10801 Airport Blvd,AMARILLO,RPMD,,TXM09301,ASOS Amarillo Int'l Airport Site - HO,Land,TX,79111
1111 16th St NW,CHILDRESS,RPMD,,14000786,NWR Childress TX KJY97,Land,TX,79201
Lat 34-26-20.2 N Long 100-13-11.4 W,CHILDRESS,RPMD,,14000787,NWR Childress Antenna,Structure,TX,79201
Box 1087,CHILDRESS,RPMD,,TXM10501,ASOS Childress Municipal Arpt Site - HO,Land,TX,79201
"33.653611, -100.845833",DICKENS,RPMD,,14000938,NWR Dickens TX WZ2507,Structure,TX,79229
"33.653611, -100.845833",DICKENS,RPMD,,14000951,NWR Dickens TX Site,Land,TX,79229
LAT 33D 57.345N/LONG 102D 46.557W,MULESHOE,RPMD,,14000258,CLIMATE REFERENCE NETWORK (CRN),Land,TX,79347
"33.737389,  -101.749111",NEW DEAL,RPMD,,TXM05301,NWR New Deal TX WXK79,Structure,TX,79350
U.S. Hwy 180 East,SEMINOLE,RPMD,,14000472,NWR Seminole TX WNG562,Structure,TX,79360
U.S. Hwy 180 East,SEMINOLE,RPMD,,14000532,NWR Seminole TX Site,Land,TX,79360
Route 3  Box 389,LUBBOCK,RPMD,,TXM10401,ASOS Lubbock Int'l Airport Site,Land,TX,79401
Route 3  Box 389,LUBBOCK,RPMD,,TXM14501,Ground Space,Land,TX,79403
32.275444  -90.590556,CLYDE,RPMD,,14000936,NWR Clyde (Abilene) TX WXK29,Land,TX,79510
32.275444 -90.560556,CLYDE,RPMD,,14000937,NWR Clyde (Abilene) TX,Structure,TX,79510
1719 State Highway 283,NOVICE,RPMD,,14000530,NWR Coleman (Novice) TX WXN89,Structure,TX,79538
1719 State Highway 283,NOVICE,RPMD,,14000531,Ground Space,Land,TX,79538
32.339316 -100.354161,SWEETWATER,RPMD,,14000350,NWR Sweetwater TX KWN37,Structure,TX,79556
P O Box 60,ABILENE,RPMD,,TXM11301,ASOS Abilene Regional Airport Site,Land,TX,79604
11320 County Road 127W,MIDLAND,RPMD,,TXM05401,NWR Midland Odessa TX,Structure,TX,79706
2500 Challenger Drive,MIDLAND,RPMD,,TXM14301,Ground Space,Land,TX,79706
2500 Kentucky Way,BIG SPRING,RPMD,,14001023,NWR Big Spring TX WXK37,Structure,TX,79720
Box 730,FT STOCKTON,RPMD,,TXM09701,ASOS Ft Stockton/pecos Cy Airport Site - HO,Land,TX,79735
LAT 31D 37.305N/LONG 102D 48.411W,MONAHANS,RPMD,,14000238,CLIMATE REFERENCE NETWORK (CRN),Land,TX,79756
1010 East 8th St,ODESSA,RPMD,,TXM10701,ASOS Odessa-schlemeyer Field Site - HO,Land,TX,79761
1709 FM 2007,PECOS,RPMD,,14000760,Tower Space,Structure,TX,79772
1709 FM 2007,PECOS,RPMD,,14000761,Ground Space,Land,TX,79772
112 N Poplar St,WINK,RPMD,,TXM13801,ASOS Winkler County Arpt Site,Land,TX,79789
LAT 29.34832N/LONG 103.20922W,ALPINE,RPMD,,14000613,CLIMATE REFERENCE NETWORK (CRN),Land,TX,79834
"Lat 31d 53' 23.9"" N Long 104d 48' 40.2"" W",SALT FLAT,RPMD,,14000939,NWR Site - Guadalupe Mtns. National Park,Land,TX,79847
8 Cappitan Vista,SALT FLAT,RPMD,,14000940,NWR Guadalupe Mtn National Park,Structure,TX,79847
31.831222 -104.809028,GUADALUPE,RPMD,,14001121,NWS ASOS Guadalupe (Pine Springs) TX,Land,TX,79847
1221 Texas Avenue,EL PASO,RPMD,,14000482,NWR El Paso TX (Spanish Language) WXK652,Structure,TX,79901
1221 Texas Avenue,EL PASO,RPMD,,14000561,NWR El Paso TX Generator/Fuel Tank,Land,TX,79901
6701 Convair Road,EL PASO,RPMD,,TXM14001,ASOS El Paso Int'l Airport Site,Land,TX,79925
1 Ranger Park,EL PASO,RPMD,,14001151,NWR El  Paso (Ranger Peak) WXK25,Structure,TX,79930
Front Range Airport,WATKINS,RPMD,,COC04902,Nexrad Property Site,Land,CO,80137
Stapelton Airport,DENVER,RPMD,,COC07601,ASOS Site License,Land,CO,80207
2850 Youngfield Street,DENVER,RPMD,,14001659,NOS Lakewood CO NGS,Building,CO,80215
10230 Smith Rd,DENVER,RPMD,,COC00406,Upper Air Site,Land,CO,80239
4847 PEARL STREET,BOULDER,RPMD,,CO2012ZZ,HARLEM YARDS,Building,CO,80302
325 Broadway,BOULDER,RPMD,,COM04502,Radio Building - Bldg. 01,Building,CO,80305
325 Broadway,BOULDER,RPMD,,COM04507,Ionospheric Observatory - Bldg. 11,Building,CO,80305
Rt 3  Mother Cabrini Shrine,GOLDEN,RPMD,,COC00501,Land-Hydro Obs Site,Land,CO,80401
1023 County Road 610,GRANBY,RPMD,,14001102,OAR ESRL PSD OP Granby CO Site,Land,CO,80446
Leadville Airport,LEADVILLE,RPMD,,COC07701,ASOS Site License,Land,CO,80461
LAT 40.03625N?LONG 105.4225W,NEDERLAND,RPMD,,14000335,NESDIS -CLIMATE REFERENCE NETWORK (CRN),Land,CO,80466
818 County Road 116,NEDERLAND,RPMD,,14000743,OAR ESRL PSD Roof Space Nederland CO,Structure,CO,80466
19126 State Hwy 119,ROLLINSVILLE,RPMD,,COM05301,Ground Space,Land,CO,80474
26 Lily Pad Lane,SILVERTHORNE,RPMD,,14001009,NWR Dillon CO (Silverthorne) WNG737,Structure,CO,80497
6925 Weld County Rd 3 1/4,ERIE,RPMD,,COM01902,OAR ETL Ground Space Erie CO,Land,CO,80516
2701 Weld County Rd 8,ERIE,RPMD,,COM05901,Ground Space - HO,Land,CO,80516
2701 Weld County Rd 8,ERIE,RPMD,,COM05902,Ground Space,Land,CO,80516
2701 Weld County Rd 8,ERIE,RPMD,,COM05903,Ground Space - HO,Land,CO,80516
2701 Weld County Rd 8,ERIE,RPMD,,COM05904,Community Canal Easement,Land,CO,80516
2701 Weld County Rd 8,ERIE,RPMD,,COM11201,OAR ETL Road Easement for gate Erie CO Site,Land,CO,80516
LAT 40D 48.399N/LONG 104D 45.301W,NUNN,RPMD,,14000203,CLIMATE REFERENCE NETWORK (CRN),Land,CO,80648
"Section 36, Township 3N, Range 66W",PLATTEVILLE,RPMD,,COM01802,OAR ESRL CSD Ground Space,Land,CO,80651
Kit Carson County Airpo,BURLINGTON,RPMD,,COC06501,ASOS Site License,Land,CO,80807
Colorado Springs Munici,COLORADO SPRINGS,RPMD,,COC06401,ASOS Site License,Land,CO,80916
Tracts 100 & 100e,PUEBLO,RPMD,,COC05001,NEXRAD Radar Site Pueblo,Land,CO,81001
Pueblo Memorial Airport,PUEBLO,RPMD,,COC06301,ASOS Site License,Land,CO,81001
William White Blvd/mem.,PUEBLO,RPMD,,COC06801,WFO Site - Pueblo Mem. Airport,Land,CO,81001
LAT N37.86345D/LONG 103.82180D W,LA JUNTA,RPMD,,14000493,CLIMATE REFERENCE NETWORK (CRN),Land,CO,81050
County Road 19 (Carlton),LAMAR,RPMD,,14000038,NWR Lamar CO KWN60 Transmitter 9464/16,Structure,CO,81052
965 W 5th Street,SPRINGFIELD,RPMD,,14000340,NWR Springfield CO Transmitter WNG664 9464/18,Structure,CO,81073
Comanche National Grass,SPRINGFIELD,RPMD,,COC07801,ASOS Site License,Land,CO,81073
San Luis Valley Regiona,ALAMOSA,RPMD,,COC06001,ASOS Site License,Land,CO,81101
Durango-la Plate Cty Ai,DURANGO,RPMD,,COC07201,ASOS Site License,Land,CO,81301
