Address,City,FILE,PM ID,Property ID,Property Name,Property Type,State,Zip
123 E. Roosevelt Ave.,GRANTS,LOOKUP,,00000092,NM Ramah 9 SE,Land,NM,87020
123 E. Roosevelt Avenue,GRANTS,LOOKUP,,00000079,NM Grants 2 S,Land,NM,87020
Sexton Summit,GRANTS PASS (SEXTON SUM,LOOKUP,2338467.0,ORW06201,NWS Observatory B 1 Grants Pass OR,Building,OR,97347
5324 Tri-Hill Frontage Road,GREAT FALLS,LOOKUP,2338777.0,MTW05601,WFO Great Falls MT,Building,MT,59404
5324 Tri-Hill Frontage Road,GREAT FALLS,LOOKUP,,MTW05602,WFO Site Great Falls MT,Land,MT,59405
P.o. Box 470,HANOVER,LOOKUP,,VAE06501,Asos-hanover Cnty Mncpl Airprt,Land,VA,23069
37.65 -99.11,HAVILAND,LOOKUP,,KSM01601,Wind Profiler 12 Haviland KS HVLK1,Land,KS,67059
No Address Provided,HOBBS,LOOKUP,,NMM00701,ASOS Hobbs NM Site - HO,Land,NM,88241
1 Park Road,HOLBROOK,LOOKUP,,00000083,AZ Holbrook 17 ESE Holbrook AZ,Land,AZ,86025
655 Main Street,HOLBROOK,LOOKUP,,NYE05001,Asos Long Is. Macarthur Airpor,Land,NY,11741
Station 1 Box 10158,HOUMA,LOOKUP,,LAM05401,ASOS Houma LA Site - HO,Land,LA,70363
7616 Channel 16 Way,JACKSON,LOOKUP,,MSM05701,NWR Jackson MS KIH38,Structure,MS,39209
9332 Highway 36,JOES,LOOKUP,,00000037,CO Stratton 24 N Joes CO,Land,CO,80822
607 4th Avenue NE,KENMARE,LOOKUP,,14000261,NWR Kenmare ND Transmitter 9764/21,Structure,ND,58746
37.21N 103.50W,KIM,LOOKUP,,00000095,CO Kim 9 WSW Kim CO,Land,CO,81049
7000 Flightline Drive,KINGMAN,LOOKUP,,00000084,AZ Kingman 8 NE Kingman AZ,Land,AZ,86401
Box 89b  Stallings Fiel,KINSTON,LOOKUP,,NCE05501,Asos-kinston Regional Airport,Land,NC,28501
Kotzebue  Ak.,KOTZEBUE,LOOKUP,2397824.0,AKW06203,NWS Storage Bldg Kotzebue AK,Building,AK,99752
1800 Marquess Street,LAS CRUCES,LOOKUP,,00000081,NM Hachita 7 ESE,Land,NM,88005
1700 N. Grand Avenue,LAS VEGAS,LOOKUP,,00000086,NM Las Vegas 6 NE Las Vegas NM,Land,NM,87701
Star Route  Box 176,LEWIS RUN,LOOKUP,,PAE02601,Asos-bradford Regional Airport,Land,PA,16738
15805 W 143rd Street,LOCKPORT,LOOKUP,,14000058,NWR Lockport Downers Grove IL KZZ81 9969/19,Structure,IL,60441
4825 Old Main Hill,LOGAN,LOOKUP,,00000027,UT Logan 5 SW Logan UT,Land,UT,84322
8600 N. 39th St.,LONGMONT,LOOKUP,,COM01718,Building I-10-C,Building,CO,80503
15 Entrance Road,LOS ALAMOS,LOOKUP,,00000098,NM Santa Fe 20 WNW,Land,NM,87544
1000 S Columbia,PLAINVIEW,LOOKUP,,TXM08901,ASOS Site - HO,Land,TX,79072
"NE 1/4, SW 1/4, SW 1/4 of Section 4, T22N, R78W",MEDICINE BOW,LOOKUP,,WYM01101,Wind Profiler No.17 MBWW4,Land,WY,82329
220 E. Market Street,MEEKER,LOOKUP,,00000054,CO Rifle 23 NW Meeker CO,Land,CO,81641
P.O. Box 1181,MEEKER,LOOKUP,,00000087,CO Meeker 15 W Meeker CO,Land,CO,81641
2525 14th St.,MERIDIAN,LOOKUP,,14001001,Lauderdale County EMA,Structure,MS,39301
42.9  -101.69,MERRIMAN,LOOKUP,,NEM01201,# 18 Wind Profiler MRRN1,Land,NE,69218
2282 SW Resource Blvd.,MOAB,LOOKUP,,00000100,UT Spanish Valley 25 SW,Land,UT,84532
36 North Main,MONTICELLO,LOOKUP,,00000064,UT Blanding 26 SSW,Land,UT,84535
365 North Main,MONTICELLO,LOOKUP,,00000089,UT Monticello 24 NW,Land,UT,84535
133 State Street,MONTPELIER,LOOKUP,,VTE00601,ASOS Bennington State Airport,Land,VT,05602
133 State Street,MONTPELIER,LOOKUP,,VTE00701,Asos-Hartness St A/p-sprngfld,Land,VT,05602
133 State Street,MONTPELIER,LOOKUP,,VTE00801,Asos-Morrisville-stowe St A/p,Land,VT,05602
#40 Ranger Station Road,MOUNTAINAIR,LOOKUP,,00000056,NM Mountainair 2 WSW,Land,NM,87036
P.O. Box 220,NAGEEZI,LOOKUP,,00000090,NM Nageezi 18 SSW,Land,NM,87037
93 Perimeter Road,NASHUA,LOOKUP,,NHE00401,Asos-Boire Filed,Land,NH,03063
42.2  -97.79,NELIGH,LOOKUP,,NEM01301,# 20 Wind Profiler NLGN1,Land,NE,68756
Rt 2 - 250 Airport Driv,NEWPORT NEWS,LOOKUP,,NCE06701,Asos-rocky Mount Wilson Arport,Land,NC,23602
8250 Earhart Road,OAKLAND,LOOKUP,,CAW00203,NWS UAIB Oakland CA,Building,CA,94621
8250 Earhart Road,OAKLAND,LOOKUP,,CAW00202,NWS Easement Oakland CA Site,Land,CA,94621
Lake Rd 54-22 & Sunset,OSAGE BEACH,LOOKUP,,MOC00201,NWR Osage Beach MO WXJ90 9440/11,Structure,MO,65065
P.O. Box 968,OVERGAARD,LOOKUP,,00000053,AZ Heber 3 SE Overgaard AZ,Land,AZ,85933
691 Scenic View Drive,PAGE,LOOKUP,,00000091,AZ Page 9 WSW Page AZ,Land,AZ,86040
"19.5406N, 154.9728W",PAHOA,LOOKUP,,14001407,NWS Rain Gauge Pahoa HI Site,Land,HI,96778
5476 U.S. Hwy 95,PARKER,LOOKUP,,00000085,AZ Lake Havasu 19 SE Parker AZ,Land,AZ,85344
10910 South Central Ave.,PHOENIX,LOOKUP,,00000026,AZ Phoenix 7 S Phoenix AZ,Land,AZ,85042
198 Airport Road,PLATTSBURGH,LOOKUP,,NYE03001,Asos-Clinton County Airport,Land,NY,12901
Kolonia E Caroline Isla,POHNPEI,LOOKUP,2338804.0,NQW00502,NWS Garage Pohnpei FM,Building,FM,96941
750 North 500 East,PROVO,LOOKUP,,00000088,UT Milford 42 WNW,Land,UT,84606
"lat 40d 56' 57.2"" N  long 78d 58'49.1"" W",PUNXSUTAWNEY,LOOKUP,,14001044,NWR Punxsutawney PA,Structure,PA,15767
"HC 69, Box 232",RANDLETT,LOOKUP,,00000102,UT Vernal 23 SSE,Land,UT,84063
"Highway 12, Mile Marker 6",RESERVE,LOOKUP,,00000094,Reserve 1 W,Land,NM,87830
County Center,RIVERHEAD,LOOKUP,,NYE02901,Asos-Suffolk County Airport,Land,NY,11901
27901 Road 21,ROCKY FORD,LOOKUP,,00000045,CO Rocky Ford 1 ESE Rocky Ford CO,Land,CO,81067
2902 W. 2nd Street,ROSWELL,LOOKUP,,00000076,NM Elida 14 SE,Land,NM,88201
717 West 6th Street,SAFFORD,LOOKUP,,00000097,AZ Safford 5 NNESafford AZ,Land,AZ,85546
P.O. Box 476,SAGUACHE,LOOKUP,,00000025,CO Saguache 2 WNW Saguache CO,Land,CO,81149
2370 South 2300 West,SALT LAKE CITY,LOOKUP,,00000080,UT Grantsville 12 WNW,Land,UT,84119
P.O. Box 109,SASABE,LOOKUP,,00000065,AZ Amado 23 W Sasabe AZ,Land,AZ,85633
801 Leroy Place,SOCORRO,LOOKUP,,00000057,NM Socorro 17 WSW,Land,NM,87801
"SR9, Canyon District",SPRINGDALE,LOOKUP,,00000070,UT Cedar City 18 SSE,Land,UT,84767
24207 US Highway 287,SPRINGFIELD,LOOKUP,,00000096,CO Springfield 6 WSW Springfield CO,Land,CO,81073
43741 Weather Service Rd,STERLING,LOOKUP,,VAN02115,Gen. Storage Whrhse  Lg Chmber-Bldg. 15,Building,VA,20166
43741 Weather Service Rd,STERLING,LOOKUP,,VAN02125,WFO Sterling Ops Storage  Packing & Shipng-Bldg.25,Building,VA,20166
43741 Weather Service Rd,STERLING,LOOKUP,,VAN02117,Emergency Power Generator-Bldg. 17,Building,VA,20166
